楷飞,堡柳备,吝邦力1悼,吝邦力2悼,吝邦力3悼,吝邦力4悼,瓷悼,备狼力1悼,备狼力2悼,备狼力3悼,堡厘悼,磊剧力1悼,磊剧力2悼,磊剧力3悼,磊剧力4悼,拳剧悼,焙磊悼,单捞磐扁霖老磊
0技,"1,321",42,67,74,70,69,123,51,99,59,105,182,50,76,107,147,2022.2.7
1技,"1,322",31,62,64,72,69,109,53,132,66,111,158,68,69,118,140,2022.2.7
2技,"1,476",24,65,73,88,57,111,52,162,77,138,200,67,61,146,155,2022.2.7
3技,"1,540",27,73,65,104,59,118,53,179,70,134,168,65,92,169,164,2022.2.7
4技,"1,594",28,65,69,92,65,130,41,214,71,127,216,81,80,143,172,2022.2.7
5技,"1,837",40,87,70,104,65,120,53,285,109,156,241,63,66,192,186,2022.2.7
6技,"2,041",35,100,77,131,76,143,57,404,91,153,261,62,86,187,178,2022.2.7
7技,"2,038",42,98,62,128,68,135,39,421,95,170,261,76,79,173,191,2022.2.7
8技,"2,117",38,76,69,113,56,142,59,494,115,182,236,69,75,209,184,2022.2.7
9技,"2,369",38,116,73,142,97,141,50,532,116,188,269,71,99,205,232,2022.2.7
10技,"2,235",42,80,78,148,82,142,52,537,126,171,251,70,77,190,189,2022.2.7
11技,"2,360",48,107,75,129,62,153,52,561,139,186,250,71,104,212,211,2022.2.7
12技,"2,226",51,80,45,127,80,173,42,570,108,156,233,66,88,189,218,2022.2.7
13技,"2,354",48,85,66,116,85,147,54,613,130,157,229,72,105,197,250,2022.2.7
14技,"2,672",51,102,78,144,87,178,53,685,145,171,260,83,102,274,259,2022.2.7
15技,"2,455",52,81,62,127,77,194,49,568,170,175,261,82,111,207,239,2022.2.7
16技,"2,313",35,85,55,141,91,166,41,511,152,161,229,77,105,221,243,2022.2.7
17技,"2,580",65,91,79,115,103,198,41,514,160,172,282,98,124,274,264,2022.2.7
18技,"2,742",93,103,89,150,115,232,71,473,166,208,266,103,158,247,268,2022.2.7
19技,"2,791",217,131,83,133,85,240,60,418,169,205,252,119,147,251,281,2022.2.7
20技,"3,378",388,176,126,185,149,265,97,390,203,218,281,142,191,264,303,2022.2.7
21技,"4,530",611,256,175,233,169,340,110,508,266,296,368,176,301,331,390,2022.2.7
22技,"4,873",842,307,202,253,194,343,152,397,338,291,371,209,323,301,350,2022.2.7
23技,"5,826","1,153",400,236,310,225,381,191,458,352,322,362,255,423,329,429,2022.2.7
24技,"6,194","1,225",492,243,339,237,415,204,401,394,336,358,272,442,382,454,2022.2.7
25技,"6,868","1,354",501,309,402,282,433,226,382,519,389,411,328,518,352,462,2022.2.7
26技,"7,290","1,318",585,323,435,297,492,286,379,498,410,392,396,582,395,502,2022.2.7
27技,"7,638","1,243",631,370,518,328,540,340,377,505,476,385,359,624,433,509,2022.2.7
28技,"7,363","1,098",536,402,486,336,502,342,348,544,430,389,367,650,383,550,2022.2.7
29技,"7,523",992,590,398,551,348,558,338,340,553,473,416,389,620,437,520,2022.2.7
30技,"6,943",878,477,356,502,364,467,357,327,521,390,397,334,619,438,516,2022.2.7
31技,"6,085",660,462,364,418,286,449,299,287,439,386,385,305,548,349,448,2022.2.7
32技,"5,856",591,443,342,403,331,452,252,282,395,370,386,302,492,357,458,2022.2.7
33技,"5,549",482,359,332,398,278,440,279,303,374,379,390,274,450,337,474,2022.2.7
34技,"5,180",404,315,281,367,236,411,241,321,339,376,376,257,410,375,471,2022.2.7
35技,"4,970",358,321,273,362,275,366,231,303,329,351,371,283,375,345,427,2022.2.7
36技,"4,999",341,315,247,348,220,377,241,348,349,361,432,255,359,367,439,2022.2.7
37技,"4,706",282,288,241,330,232,427,182,362,275,319,379,247,363,357,422,2022.2.7
38技,"5,116",297,286,284,345,228,383,215,474,333,389,434,240,374,399,435,2022.2.7
39技,"5,298",291,344,249,367,239,388,235,556,356,375,473,282,311,422,410,2022.2.7
40技,"5,381",263,284,250,376,226,387,216,607,346,393,506,285,346,472,424,2022.2.7
41技,"5,196",250,309,238,314,201,415,187,644,328,404,457,245,348,417,439,2022.2.7
42技,"5,116",225,254,217,285,230,370,173,739,297,423,482,264,310,408,439,2022.2.7
43技,"4,404",196,227,182,255,182,321,147,615,300,345,387,194,292,370,391,2022.2.7
44技,"4,790",207,225,188,274,190,376,154,757,305,354,432,200,292,420,416,2022.2.7
45技,"4,615",162,225,176,233,223,357,130,761,333,333,419,211,273,378,401,2022.2.7
46技,"4,797",183,213,205,278,201,390,152,738,331,386,379,207,302,420,412,2022.2.7
47技,"5,121",211,248,192,299,224,430,147,823,329,426,406,236,275,427,448,2022.2.7
48技,"5,415",220,261,181,312,252,424,155,792,342,387,475,268,344,456,546,2022.2.7
49技,"5,607",215,263,240,363,279,477,135,837,367,387,492,272,346,463,471,2022.2.7
50技,"5,862",247,259,264,329,259,481,183,840,358,412,558,304,335,502,531,2022.2.7
51技,"5,773",218,270,254,347,289,526,146,742,374,435,486,286,337,518,545,2022.2.7
52技,"5,630",222,315,264,320,258,550,157,685,359,403,500,263,327,481,526,2022.2.7
53技,"5,735",226,287,266,344,311,570,147,635,418,426,486,315,318,494,492,2022.2.7
54技,"5,370",217,269,223,385,284,521,150,547,372,377,458,293,344,441,489,2022.2.7
55技,"5,120",212,265,235,347,269,555,139,461,326,431,421,276,285,425,473,2022.2.7
56技,"5,167",190,255,250,348,283,532,137,486,322,393,437,325,310,455,444,2022.2.7
57技,"5,123",179,284,239,351,282,528,117,501,317,395,479,300,291,434,426,2022.2.7
58技,"4,757",182,268,208,331,275,446,123,418,331,398,420,303,269,363,422,2022.2.7
59技,"5,266",187,306,240,364,297,511,152,426,360,408,449,331,334,442,459,2022.2.7
60技,"5,333",207,307,277,376,306,522,143,379,358,448,446,362,310,443,449,2022.2.7
61技,"5,489",208,310,264,361,321,626,177,404,349,456,448,358,327,436,444,2022.2.7
62技,"5,188",174,262,263,392,303,573,155,381,355,404,441,338,322,403,422,2022.2.7
63技,"4,827",170,260,222,342,269,484,137,356,320,406,373,346,297,416,429,2022.2.7
64技,"4,602",166,275,227,284,246,475,129,347,336,390,401,327,264,367,368,2022.2.7
65技,"4,186",176,241,217,264,227,427,127,301,247,353,364,281,240,361,360,2022.2.7
66技,"4,339",168,232,229,273,247,433,133,318,272,373,382,310,238,380,351,2022.2.7
67技,"3,710",181,217,180,234,195,376,118,259,249,327,315,244,219,291,305,2022.2.7
68技,"3,120",147,178,169,199,146,312,86,241,208,250,259,239,180,252,254,2022.2.7
69技,"3,493",141,211,142,246,207,378,98,242,233,333,260,261,186,275,280,2022.2.7
70技,"2,356",102,115,110,152,128,258,53,168,166,179,186,178,137,213,211,2022.2.7
71技,"2,493",99,149,143,170,136,248,80,177,149,194,212,180,152,225,179,2022.2.7
72技,"2,470",121,126,97,177,147,241,90,159,167,187,172,193,172,218,203,2022.2.7
73技,"2,591",108,166,129,175,150,284,80,151,198,184,201,181,174,217,193,2022.2.7
74技,"2,600",103,155,150,172,154,273,104,134,169,201,170,215,160,249,191,2022.2.7
75技,"2,151",112,128,113,136,128,219,63,155,130,160,146,157,143,198,163,2022.2.7
76技,"1,754",79,99,94,115,99,196,53,108,136,139,134,106,102,149,145,2022.2.7
77技,"1,799",84,130,88,121,109,184,54,126,123,147,132,112,108,143,138,2022.2.7
78技,"1,775",85,124,98,110,104,170,57,132,129,148,124,111,114,136,133,2022.2.7
79技,"1,989",100,117,89,124,112,211,83,126,147,128,151,160,128,172,141,2022.2.7
80技,"1,701",83,107,92,122,81,175,54,132,126,118,127,119,101,130,134,2022.2.7
81技,"1,373",54,87,61,67,89,106,57,105,110,83,122,103,103,115,111,2022.2.7
82技,"1,332",58,69,77,84,78,129,51,127,90,92,98,93,83,99,104,2022.2.7
83技,"1,198",67,65,53,75,66,114,39,97,81,92,108,64,72,108,97,2022.2.7
84技,962,50,53,37,46,53,85,30,101,62,69,97,55,74,77,73,2022.2.7
85技,855,43,59,29,60,51,70,24,89,64,50,68,55,50,75,68,2022.2.7
86技,747,30,40,26,43,38,56,24,68,48,43,90,63,40,70,68,2022.2.7
87技,587,26,35,21,23,19,57,16,61,38,37,76,42,35,50,51,2022.2.7
88技,477,14,27,23,21,25,43,11,45,27,34,69,22,23,45,48,2022.2.7
89技,377,17,24,22,21,15,23,14,46,25,27,52,17,23,24,27,2022.2.7
90技,297,11,9,11,15,14,23,9,30,16,29,32,19,21,26,32,2022.2.7
91技,224,10,10,10,6,14,23,11,30,16,10,31,12,10,14,17,2022.2.7
92技,205,9,7,5,13,7,16,3,25,16,17,22,18,10,8,29,2022.2.7
93技,158,9,5,6,9,8,11,3,21,10,13,18,9,12,6,18,2022.2.7
94技,136,6,7,5,11,12,13,5,17,6,9,14,8,2,12,9,2022.2.7
95技,70,4,6,3,4,3,4,2,7,2,5,6,5,4,11,4,2022.2.7
96技,56,6,3,1,5,4,0,1,6,3,2,7,1,5,7,5,2022.2.7
97技,51,2,5,1,2,2,7,0,1,1,7,6,2,2,8,5,2022.2.7
98技,32,1,3,2,5,1,6,2,2,2,1,3,1,1,2,0,2022.2.7
99技,33,1,3,1,2,2,1,2,5,2,2,5,1,3,2,1,2022.2.7
100技,22,0,0,2,0,1,4,1,5,0,1,1,0,4,1,2,2022.2.7
101技,6,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,2022.2.7
102技,7,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,2022.2.7
103技,7,1,0,0,1,0,0,0,1,0,0,2,0,1,1,0,2022.2.7
104技,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2022.2.7
105技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.2.7
106技,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.2.7
107技,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.2.7
108技,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022.2.7
109技,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2022.2.7
110技 捞惑,5,0,0,0,0,0,0,0,1,0,2,0,1,0,1,0,2022.2.7